Fecha;SLV;GTM;HND;NIC;DOM;IPC_SV;IPC_GT;IPC_HN;IPC_NI;IPC_DO
1/11/1990;;;;;;34.26;20.06;22.44;;11.21
1/12/1990;;;;;;34.9;21.74;23.09;;11.88
1/1/1991;63.1;;;;;35.56;22.52;24.03;;11.9
1/2/1991;58.4;;;;;35.68;22.44;24.88;;12.34
1/3/1991;67.6;;;;;36.18;22.47;25.21;;12.46
1/4/1991;77.8;;;;;36.37;22.78;26.03;;12.28
1/5/1991;77.4;;;;;36.99;23.03;26.34;;12.25
1/6/1991;67.8;;;;;37.3;23.22;26.81;;12.28
1/7/1991;70;;;;;38.2;23.27;27.23;;12.32
1/8/1991;53.5;;;;;38.26;23.62;27.57;;12.5
1/9/1991;53.1;;;;;38.35;23.45;27.47;;12.67
1/10/1991;64;;;;;38.35;23.48;27.74;;12.7
1/11/1991;64.3;;;;;38.14;23.6;27.96;;12.71
1/12/1991;73.1;;;;;38.33;23.92;28.03;;12.82
1/1/1992;65;;;;;38.54;24.02;28.07;25.38;12.83
1/2/1992;66;;;;;38.65;24.27;28.38;25.19;12.63
1/3/1992;75.6;;;;;38.9;24.73;28.45;25.21;12.56
1/4/1992;74.5;;;;;39.32;24.92;28.74;25.34;12.62
1/5/1992;76.3;;;;;39.49;25.11;28.85;25.38;12.68
1/6/1992;75.6;;;;;39.95;25.3;28.87;25.16;13.03
1/7/1992;77.7;;;;;40.73;25.7;29.03;25.31;12.96
1/8/1992;62;;;;;41.9;25.9;29.09;25.18;13.08
1/9/1992;60.3;;;;;43.87;26.08;29.12;25.11;13.17
1/10/1992;65.5;;;;;44.86;26.2;29.24;25.42;13.24
1/11/1992;70.5;;;;;45.72;26.72;29.58;25.96;13.31
1/12/1992;89.3;;;;;45.96;27.32;29.85;26.06;13.49
1/1/1993;57.7;;;;;48.59;27.45;30.01;28.4;13.6
1/2/1993;65.3;;;;;48.44;27.5;30.3;30.6;13.59
1/3/1993;81;;;;;48.81;27.7;30.53;30.53;13.5
1/4/1993;76.4;;;;;49.03;28.09;31.12;30.45;13.45
1/5/1993;75.6;;;;;49.65;28.25;31.39;30.75;13.5
1/6/1993;71.6;;;;;50.97;28.94;31.85;30.33;13.59
1/7/1993;76;;;;;52.03;29.62;32.81;30.93;13.66
1/8/1993;68.7;;;;;52.12;29.7;33.17;30.99;13.65
1/9/1993;62.9;;;;;52.13;29.57;32.98;31.14;13.73
1/10/1993;66.6;;;;;52.67;29.74;33.21;31.17;13.79
1/11/1993;74.1;;;;;52.79;30.13;33.53;31.21;13.83
1/12/1993;88.2;;;;;53.31;30.5;33.74;31.13;13.86
1/1/1994;69.4;17.5;;;;54.43;31.15;34.21;31.41;13.96
1/2/1994;72.9;18.9;;;;52.63;31.44;35.25;31.64;14.11
1/3/1994;81.1;21.6;;;;53.17;31.62;35.6;31.81;14.26
1/4/1994;79;28.1;;;;53.64;32;36.59;31.89;14.42
1/5/1994;88.2;26.7;;;;53.64;32.25;38.03;32.08;14.57
1/6/1994;77.1;29.8;;;;54.1;32.35;38.8;32.81;14.7
1/7/1994;75.1;28.3;;;;54.51;32.5;39.86;32.85;14.73
1/8/1994;86.4;29.7;;;;55.26;32.89;40.7;33.39;14.9
1/9/1994;80.4;24.1;;;;55.21;33.11;40.97;33.89;15.1
1/10/1994;73.5;26.1;;;;55.83;33.4;41.68;34.47;15.28
1/11/1994;80.1;25.5;;;;55.8;33.87;42.97;35.02;15.41
1/12/1994;99.3;25.7;;;;56.1;34.03;43.5;34.99;15.85
1/1/1995;82.1;26.4;;;;56.55;34.05;44.75;35.13;16.09
1/2/1995;74.4;26.8;;;;57.17;33.94;46.96;35.42;16.15
1/3/1995;86.2;37.6;;;;57.81;34.1;47.62;35.62;16.28
1/4/1995;76.2;35.3;;;;58.17;34.36;48.84;35.61;16.26
1/5/1995;98.1;41.5;;;;58.58;34.87;49.73;35.86;16.33
1/6/1995;91.6;38.1;;;;59.09;35.31;50.19;36.52;16.43
1/7/1995;90.6;40.2;;;;60.63;35.38;50.86;36.96;16.54
1/8/1995;93.1;39.3;;;;61.05;35.6;51.5;36.37;16.73
1/9/1995;85;28.7;;;;61.86;35.8;52.59;36.75;16.99
1/10/1995;89.1;32.3;;;;62.14;36.3;53.57;38.16;17.11
1/11/1995;89.1;35.4;;;;62.41;36.78;54.32;39.25;17.27
1/12/1995;105.9;34.9;;;;62.48;36.96;55.15;38.88;17.31
1/1/1996;90.6;32.2;;;;63.45;37.37;55.43;39.06;17.29
1/2/1996;74;24.8;;;;63.6;37.61;57.01;39.46;17.31
1/3/1996;89.6;33.7;;;;63.91;38.01;57.88;39.78;17.34
1/4/1996;84.6;28.5;;;;64.15;38.47;59.08;40.11;17.36
1/5/1996;100.9;28.2;;;;64.63;38.71;60.31;40.8;17.4
1/6/1996;86.1;23.5;;;;65.69;38.96;61.83;40.95;17.46
